table_name,column_name,data_type,sample_value
dim_comparison_type,comparison_type_id,object,CMP001
dim_comparison_type,comparison_type_code,object,WOWY
dim_comparison_type,comparison_type_name,object,With Or Without You
dim_comparison_type,description,object,Compares player stats when playing with vs without
dim_comparison_type,analysis_scope,object,player
dim_composite_rating,rating_id,object,CR001
dim_composite_rating,rating_code,object,offensive_rating
dim_composite_rating,rating_name,object,Offensive Rating
dim_composite_rating,description,object,"Weighted composite of goals, assists, shots, xG"
dim_composite_rating,scale_min,int64,0
dim_composite_rating,scale_max,int64,100
dim_danger_zone,danger_zone_id,object,DZ001
dim_danger_zone,danger_zone_code,object,high_danger
dim_danger_zone,danger_zone_name,object,High Danger (Slot)
dim_danger_zone,xg_base,float64,0.2
dim_danger_zone,description,object,"Within 15 feet of net, prime scoring area"
dim_event_detail,event_detail_id,object,ED0001
dim_event_detail,event_detail_code,object,Breakaway
dim_event_detail,event_detail_name,object,Breakaway
dim_event_detail_2,event_detail_2_id,object,E20001
dim_event_detail_2,event_detail_2_code,object,Deke
dim_event_detail_2,event_detail_2_name,object,Deke
dim_event_detail_2,is_secondary_action,object,Yes
dim_event_detail_2,context_type,object,Modifier
dim_event_detail_2,description,object,Additional context for the primary event detail
dim_event_type,event_type_id,object,ET0001
dim_event_type,event_type_code,object,Clockstop
dim_event_type,event_type_name,object,Clockstop
dim_game,game_id,int64,18619
dim_game,game_date_str,object,2025-07-13 00:00:00
dim_game,game_time,object,18:45:00
dim_game,season,int64,2025
dim_game,home_team_id,object,N10022
dim_game,away_team_id,object,N10023
dim_game,home_team_name,object,Red
dim_game,away_team_name,object,Green
dim_game,home_goals,int64,4
dim_game,away_goals,int64,5
dim_game,game_type,object,Regular
dim_game,game_url,object,https://www.noradhockey.com/event/18619/
dim_giveaway_type,giveaway_type_id,object,GT0001
dim_giveaway_type,giveaway_type_code,object,Giveaway-AttemptedZoneClear/Dump
dim_giveaway_type,giveaway_type_name,object,Attempted Zone Clear/Dump
dim_giveaway_type,danger_level,object,low
dim_giveaway_type,xga_impact,float64,0.02
dim_giveaway_type,turnover_quality,object,neutral
dim_giveaway_type,zone_context,object,defensive
dim_giveaway_type,description,object,Intentional dump that failed to clear
dim_highlight_subtype,highlight_subtype_id,int64,1
dim_highlight_subtype,highlight_type_code,object,goal
dim_highlight_subtype,subtype_code,object,snipe
dim_highlight_subtype,subtype_name,object,Snipe
dim_highlight_subtype,description,object,Top corner shot
dim_highlight_type,highlight_type_id,int64,1
dim_highlight_type,highlight_type_code,object,goal
dim_highlight_type,highlight_type_name,object,Goal
dim_highlight_type,description,object,Goal scored
dim_highlight_type,icon,object,goal
dim_highlight_type,color,object,#e74c3c
dim_highlight_type,auto_detect,bool,True
dim_highlight_type,default_buffer_before,int64,10
dim_highlight_type,default_buffer_after,int64,15
dim_highlight_type,sort_order,int64,1
dim_league,league_id,object,N
dim_league,league,object,NORAD
dim_micro_stat,micro_stat_id,object,MS001
dim_micro_stat,stat_code,object,deke_attempts
dim_micro_stat,stat_name,object,Deke Attempts
dim_micro_stat,category,object,offensive
dim_net_location,net_location_id,object,NL0001
dim_net_location,net_location_code,object,GH
dim_net_location,net_location_name,object,Glove High
